Heure;Debit;Vitesse;TauxOccupation
06:00;1320;70;4
06:01;1020;83;3
06:02;540;72;2
06:03;1620;54;5
06:04;1500;61;6
06:05;1080;73;4
06:06;600;84;2
06:07;1020;49;5
06:08;1380;81;4
06:09;1080;79;3
06:10;1920;61;7
06:11;900;73;3
06:12;1140;73;3
06:13;1380;84;4
06:14;1440;82;4
06:15;1560;82;5
06:16;1560;67;4
06:17;1320;76;5
06:18;1380;81;4
06:19;1500;80;5
06:20;1920;79;5
06:21;1620;85;5
06:22;1140;67;4
06:23;1440;73;5
06:24;1920;75;7
06:25;1320;78;4
06:26;1260;82;3
06:27;1800;70;6
06:28;1560;80;4
06:29;1380;69;4
06:30;2100;78;7
06:31;2640;73;8
06:32;1920;73;6
06:33;2160;90;6
06:34;2400;71;8
06:35;1800;82;5
06:36;2100;96;5
06:37;2880;72;10
06:38;2880;84;8
06:39;2700;70;10
06:40;3240;70;11
06:41;2340;81;7
06:42;1740;87;5
06:43;3420;71;11
06:44;3720;73;11
06:45;3540;72;11
06:46;3900;66;13
06:47;2880;80;7
06:48;3780;75;12
06:49;3420;75;11
06:50;3900;77;12
06:51;2700;89;7
06:52;3540;73;10
06:53;3780;84;10
06:54;3540;71;12
06:55;3900;70;12
06:56;4560;74;15
06:57;3720;79;11
06:58;3660;72;11
06:59;3420;81;10
07:00;2760;80;8
07:01;4680;78;13
07:02;3120;88;9
07:03;4920;72;17
07:04;3480;83;9
07:05;3480;68;11
07:06;4200;79;12
07:07;4620;69;15
07:08;4560;73;15
07:09;3960;78;11
07:10;4080;67;13
07:11;4200;81;12
07:12;4140;65;13
07:13;5880;69;18
07:14;5100;72;16
07:15;5520;66;20
07:16;5820;64;21
07:17;4740;74;15
07:18;4320;69;14
07:19;5100;63;17
07:20;4620;80;13
07:21;4140;69;13
07:22;5820;69;18
07:23;5100;72;15
07:24;4740;66;16
07:25;4500;69;15
07:26;4860;75;14
07:27;4560;67;15
07:28;4680;65;16
07:29;5160;69;16
07:30;4440;68;15
07:31;5640;68;19
07:32;3960;72;12
07:33;4380;65;14
07:34;4140;71;14
07:35;4920;66;17
07:36;5280;72;16
07:37;4500;68;14
07:38;5100;67;17
07:39;5160;65;18
07:40;4500;63;15
07:41;4920;78;14
07:42;5340;58;20
07:43;4920;61;17
07:44;5340;67;19
07:45;4020;61;14
07:46;5100;68;16
07:47;3720;74;12
07:48;4020;77;13
07:49;4260;64;14
07:50;4740;68;15
07:51;3540;74;10
07:52;5040;70;15
07:53;4020;72;13
07:54;3360;76;10
07:55;3540;73;10
07:56;5280;57;18
07:57;3480;76;10
07:58;4080;77;12
07:59;5280;71;17
08:00;4800;69;16
08:01;3660;73;10
08:02;4080;80;11
08:03;3900;77;11
08:04;3780;83;11
08:05;4980;67;16
08:06;4200;80;12
08:07;5040;70;16
08:08;4920;69;16
08:09;4740;66;16
08:10;4020;68;13
08:11;4980;73;16
08:12;4020;75;12
08:13;4200;76;12
08:14;4080;79;11
08:15;2760;82;8
08:16;3900;80;10
08:17;3480;81;10
08:18;3360;85;9
08:19;3060;76;8
08:20;4380;81;12
08:21;3540;69;12
08:22;3780;78;11
08:23;3300;77;9
08:24;5040;64;16
08:25;4920;65;16
08:26;3660;67;13
08:27;3180;81;9
08:28;5280;68;19
08:29;3840;76;10
08:30;4140;73;13
08:31;4140;72;14
08:32;3960;74;13
08:33;4260;74;14
08:34;4140;76;13
08:35;4200;78;11
08:36;3360;75;9
08:37;4140;74;12
08:38;3420;74;10
08:39;3060;67;11
08:40;3480;71;10
08:41;4140;82;11
08:42;3480;78;10
08:43;4200;73;12
08:44;4140;75;13
08:45;3840;72;11
08:46;4140;72;14
08:47;3600;74;11
08:48;4560;77;14
08:49;3900;66;13
08:50;3480;75;11
08:51;4140;68;16
08:52;4020;76;12
08:53;3900;78;10
08:54;2580;73;8
08:55;4140;75;12
08:56;2520;71;8
08:57;2940;76;9
08:58;2940;74;9
08:59;3660;74;11
09:00;3120;68;10
09:01;2700;66;8
09:02;3300;57;13
09:03;2520;56;11
09:04;3120;29;26
09:05;1860;12;50
09:06;1440;12;37
09:07;1920;11;58
09:08;1920;12;39
09:09;1560;11;65
09:10;2460;13;43
09:11;1740;8;59
09:12;1080;13;13
09:13;2220;10;47
09:14;960;8;55
09:15;1980;12;35
09:16;540;10;83
09:17;1140;8;68
09:18;1740;11;52
09:19;1620;14;59
09:20;2040;14;38
09:21;1440;9;39
09:22;2040;19;40
09:23;1620;11;34
09:24;2100;10;56
09:25;2160;16;28
09:26;1080;11;24
09:27;1380;11;26
09:28;1440;20;35
09:29;1020;7;51
09:30;1500;10;69
09:31;1260;16;42
09:32;1740;19;42
09:33;1440;11;61
09:34;1680;21;66
09:35;2160;18;43
09:36;1980;12;56
09:37;1620;13;38
09:38;2880;17;47
09:39;2880;19;43
09:40;1860;15;42
09:41;3780;20;56
09:42;1620;11;62
09:43;1260;6;42
09:44;2040;12;46
09:45;1500;12;47
09:46;1140;11;36
09:47;3600;21;40
09:48;2700;14;47
09:49;3240;17;40
09:50;3480;27;34
09:51;2340;16;43
09:52;3240;20;64
09:53;2400;14;53
09:54;1560;10;46
09:55;2400;15;44
09:56;3780;26;31
09:57;4260;36;30
09:58;4080;46;21
09:59;3420;70;12
