Heure;Debit;Vitesse;TauxOccupation
06:00;900;85;3
06:01;1140;88;3
06:02;1020;88;2
06:03;720;88;2
06:04;1320;89;3
06:05;1500;72;5
06:06;1020;84;3
06:07;720;62;3
06:08;1020;66;3
06:09;1080;80;3
06:10;1200;83;3
06:11;1560;82;4
06:12;1140;82;3
06:13;1380;91;4
06:14;900;92;2
06:15;1320;76;3
06:16;1440;88;4
06:17;1320;80;3
06:18;1320;83;3
06:19;1260;80;3
06:20;1800;88;4
06:21;1620;86;4
06:22;1620;88;4
06:23;900;87;2
06:24;1320;82;4
06:25;1800;70;6
06:26;1320;77;3
06:27;1500;85;4
06:28;1680;78;5
06:29;1260;89;3
06:30;1380;67;4
06:31;1920;72;6
06:32;2760;79;7
06:33;1740;83;4
06:34;2340;84;6
06:35;1800;78;5
06:36;2280;77;6
06:37;2040;78;5
06:38;3240;83;8
06:39;2220;82;6
06:40;2880;72;8
06:41;2820;74;8
06:42;2460;79;6
06:43;1620;87;4
06:44;3180;75;9
06:45;3420;65;10
06:46;3600;75;9
06:47;3720;69;11
06:48;2580;72;6
06:49;3720;69;11
06:50;3300;79;8
06:51;3900;70;12
06:52;2700;78;7
06:53;3780;78;9
06:54;3120;82;8
06:55;3240;76;9
06:56;3960;77;10
06:57;4320;72;13
06:58;3600;67;10
06:59;3480;75;9
07:00;3300;78;9
07:01;2760;76;8
07:02;4080;72;11
07:03;3360;76;9
07:04;4200;69;11
07:05;3240;73;8
07:06;3540;73;9
07:07;4320;70;12
07:08;4080;72;11
07:09;4560;71;14
07:10;3780;74;10
07:11;3900;70;10
07:12;4320;71;11
07:13;3900;67;11
07:14;5700;66;16
07:15;4860;68;14
07:16;5340;72;14
07:17;4920;64;16
07:18;5040;66;14
07:19;4260;62;13
07:20;4680;67;13
07:21;4260;70;12
07:22;4380;60;14
07:23;5160;65;15
07:24;5220;62;15
07:25;4860;62;14
07:26;4080;63;13
07:27;5040;57;17
07:28;3720;67;11
07:29;4680;62;15
07:30;4680;64;13
07:31;4500;53;15
07:32;4440;57;15
07:33;4080;43;19
07:34;5040;42;23
07:35;4080;64;12
07:36;3840;62;12
07:37;5340;52;18
07:38;4260;38;21
07:39;4980;54;17
07:40;4980;56;17
07:41;5220;48;19
07:42;4740;58;15
07:43;4500;54;16
07:44;5640;56;18
07:45;4200;55;14
07:46;4740;52;17
07:47;4140;54;14
07:48;4380;54;16
07:49;4260;60;14
07:50;3600;64;11
07:51;4980;62;15
07:52;3600;70;10
07:53;4800;60;15
07:54;3600;62;11
07:55;3720;65;11
07:56;3300;69;9
07:57;4080;64;12
07:58;4320;58;13
07:59;4260;64;12
08:00;4500;64;13
08:01;5520;55;19
08:02;3780;67;11
08:03;3420;70;9
08:04;3780;58;13
08:05;3960;67;11
08:06;4200;53;14
08:07;4320;51;15
08:08;5040;55;17
08:09;4260;62;13
08:10;4560;64;14
08:11;3780;68;12
08:12;4860;56;16
08:13;4140;56;14
08:14;3300;42;14
08:15;3660;48;14
08:16;2940;33;16
08:17;4440;49;17
08:18;3900;56;13
08:19;3180;80;8
08:20;3000;71;8
08:21;3960;64;12
08:22;3420;70;10
08:23;3540;69;10
08:24;3240;67;9
08:25;4740;65;13
08:26;4800;62;14
08:27;3900;65;13
08:28;3060;74;7
08:29;4620;57;17
08:30;4260;59;14
08:31;3840;68;11
08:32;4020;59;15
08:33;4140;57;14
08:34;3900;60;13
08:35;3480;31;22
08:36;4320;54;14
08:37;3660;66;10
08:38;3960;69;11
08:39;3420;64;10
08:40;3480;73;10
08:41;3360;68;9
08:42;4080;69;11
08:43;3180;75;9
08:44;3960;72;10
08:45;3600;67;10
08:46;4260;62;13
08:47;3540;62;12
08:48;3540;63;10
08:49;4140;61;13
08:50;4260;58;14
08:51;3660;68;11
08:52;2640;48;18
08:53;2400;37;44
08:54;1740;21;35
08:55;1920;20;30
08:56;1860;21;34
08:57;2100;13;40
08:58;1320;27;47
08:59;1980;18;55
09:00;1740;26;29
09:01;1500;14;15
09:02;2040;19;25
09:03;1920;19;42
09:04;1560;21;40
09:05;2400;12;41
09:06;1740;23;17
09:07;1500;11;64
09:08;1800;13;58
09:09;1800;13;38
09:10;1560;18;16
09:11;1260;16;11
09:12;1980;16;34
09:13;1680;26;23
09:14;1320;19;33
09:15;1200;17;22
09:16;1920;17;63
09:17;1860;16;39
09:18;1860;16;39
09:19;1980;16;34
09:20;1860;15;32
09:21;1260;16;29
09:22;1560;18;40
09:23;840;10;33
09:24;1440;20;21
09:25;1680;14;51
09:26;1740;16;37
09:27;1620;14;32
09:28;1800;22;9
09:29;1920;20;37
09:30;1740;22;32
09:31;1560;11;27
09:32;1860;13;44
09:33;2880;19;30
09:34;2400;26;21
09:35;2040;16;43
09:36;2040;19;44
09:37;2340;17;35
09:38;2760;23;23
09:39;1560;16;25
09:40;1740;10;44
09:41;2100;21;26
09:42;2460;21;12
09:43;2100;20;24
09:44;2820;26;25
09:45;2880;19;27
09:46;2280;20;24
09:47;2340;15;33
09:48;3420;23;25
09:49;2520;19;41
09:50;1860;16;24
09:51;2400;20;31
09:52;2700;35;18
09:53;3240;31;26
09:54;2640;26;21
09:55;2580;29;24
09:56;3420;37;20
09:57;2940;35;22
09:58;3420;43;20
09:59;3720;32;25
