Heure;Debit;Vitesse;TauxOccupation
06:00;840;65;20
06:01;1140;81;3
06:02;900;72;3
06:03;1020;70;4
06:04;900;72;4
06:05;1020;74;5
06:06;1020;74;5
06:07;1860;64;7
06:08;1500;73;4
06:09;1380;80;4
06:10;1380;63;5
06:11;2460;70;10
06:12;1260;58;5
06:13;1260;78;4
06:14;1680;70;5
06:15;1260;78;5
06:16;1680;56;5
06:17;1860;57;7
06:18;1020;73;3
06:19;1980;66;5
06:20;2040;78;6
06:21;1920;87;5
06:22;1740;81;5
06:23;1740;78;5
06:24;1800;83;6
06:25;1920;75;9
06:26;1980;50;9
06:27;2160;77;7
06:28;2220;71;9
06:29;2340;72;7
06:30;1800;82;5
06:31;2700;84;6
06:32;2220;63;8
06:33;2160;80;6
06:34;2160;78;7
06:35;2340;72;7
06:36;2700;87;7
06:37;1920;73;6
06:38;2460;82;7
06:39;1560;77;4
06:40;3660;76;10
06:41;2760;79;7
06:42;3120;84;8
06:43;2340;70;9
06:44;3840;79;11
06:45;2520;77;8
06:46;3360;74;10
06:47;3300;77;9
06:48;4380;74;14
06:49;4080;64;15
06:50;3900;77;11
06:51;2160;81;6
06:52;4200;77;13
06:53;4200;75;12
06:54;4620;70;14
06:55;4260;61;14
06:56;3780;75;12
06:57;3600;80;10
06:58;4560;75;14
06:59;4920;82;15
07:00;4200;82;13
07:01;3300;67;11
07:02;4860;74;15
07:03;4140;63;15
07:04;3900;67;13
07:05;4980;81;14
07:06;4800;65;18
07:07;4260;64;13
07:08;4440;78;14
07:09;5580;68;18
07:10;3720;69;12
07:11;5160;67;18
07:12;5160;69;18
07:13;4740;60;16
07:14;5340;69;16
07:15;5340;62;19
07:16;4980;64;17
07:17;4200;72;13
07:18;4440;71;13
07:19;4560;61;16
07:20;5460;64;19
07:21;4320;54;18
07:22;4500;69;16
07:23;4860;64;18
07:24;5640;62;19
07:25;4320;60;16
07:26;5160;62;17
07:27;4740;65;15
07:28;5100;65;16
07:29;4140;67;12
07:30;3360;76;9
07:31;5520;56;20
07:32;5040;64;16
07:33;4680;68;15
07:34;5160;64;18
07:35;3900;72;11
07:36;4620;67;15
07:37;4500;65;14
07:38;5100;71;16
07:39;5940;57;22
07:40;4920;55;19
07:41;4200;64;15
07:42;4620;72;14
07:43;5100;66;16
07:44;5040;62;18
07:45;5100;57;19
07:46;5460;63;18
07:47;5220;66;17
07:48;4200;73;12
07:49;4680;65;15
07:50;3840;74;12
07:51;4680;68;15
07:52;4140;65;14
07:53;4020;75;11
07:54;5160;70;16
07:55;3000;77;9
07:56;3780;67;13
07:57;4140;65;14
07:58;4320;71;14
07:59;4140;73;12
08:00;4500;62;15
08:01;4740;65;16
08:02;4320;65;16
08:03;3660;74;11
08:04;4380;65;15
08:05;4500;69;14
08:06;4380;69;13
08:07;5040;64;17
08:08;4500;71;15
08:09;4020;65;13
08:10;5160;68;16
08:11;5100;67;17
08:12;4380;61;14
08:13;3900;71;12
08:14;4200;72;13
08:15;3900;66;15
08:16;3960;64;13
08:17;3600;76;10
08:18;4080;66;13
08:19;5040;68;16
08:20;2820;72;8
08:21;4200;57;15
08:22;3660;65;14
08:23;3780;72;11
08:24;4140;64;14
08:25;4560;66;14
08:26;3060;77;8
08:27;3720;72;15
08:28;3780;69;12
08:29;3840;70;12
08:30;4020;71;12
08:31;4260;67;14
08:32;3420;72;10
08:33;4320;63;15
08:34;4200;58;17
08:35;3120;37;21
08:36;4500;38;21
08:37;4260;52;17
08:38;3960;64;13
08:39;3780;63;13
08:40;4080;66;13
08:41;3300;68;12
08:42;4440;56;18
08:43;4020;50;18
08:44;2820;61;11
08:45;3360;56;14
08:46;3180;61;11
08:47;3780;65;14
08:48;2940;71;9
08:49;3540;73;11
08:50;3420;71;11
08:51;3360;73;10
08:52;3360;69;11
08:53;3360;67;12
08:54;3060;81;9
08:55;3540;67;12
08:56;2880;76;9
08:57;3900;73;13
08:58;4800;69;15
08:59;4260;75;14
09:00;3660;65;14
09:01;4020;66;15
09:02;2640;76;8
09:03;3000;75;10
09:04;3660;74;11
09:05;3360;82;10
09:06;3540;71;12
09:07;3240;69;10
09:08;3540;63;12
09:09;3600;72;11
09:10;2880;77;9
09:11;2400;80;8
09:12;3300;74;9
09:13;3120;80;9
09:14;2580;76;8
09:15;2940;81;8
09:16;2700;72;12
09:17;2760;80;8
09:18;3300;83;9
09:19;3960;73;12
09:20;2520;78;7
09:21;3720;74;11
09:22;3060;62;12
09:23;2880;67;10
09:24;3720;76;11
09:25;3540;72;12
09:26;3300;77;9
09:27;3420;68;10
09:28;4080;73;12
09:29;2460;65;8
09:30;2640;62;10
09:31;2880;73;9
09:32;3480;74;11
09:33;3840;81;13
09:34;3720;74;11
09:35;3060;72;9
09:36;2880;79;8
09:37;4080;74;13
09:38;3720;78;12
09:39;2820;64;8
09:40;3060;72;10
09:41;2940;70;9
09:42;3420;66;13
09:43;3060;66;10
09:44;3240;77;9
09:45;3480;67;13
09:46;2640;73;8
09:47;3300;74;10
09:48;2400;72;7
09:49;3420;71;11
09:50;2640;71;8
09:51;3240;74;11
09:52;3120;66;10
09:53;2940;76;9
09:54;2880;68;10
09:55;3540;69;11
09:56;2760;78;9
09:57;3600;80;12
09:58;3840;65;13
09:59;3120;76;9
