Heure;1 min;2 min;4 min ;6 min
06:00;1080;990;975;980
06:01;900;990;975;980
06:02;1080;960;975;980
06:03;840;960;975;980
06:04;1140;990;1005;980
06:05;840;990;1005;980
06:06;1080;1020;1005;1410
06:07;960;1020;1005;1410
06:08;2160;1650;1605;1410
06:09;1140;1650;1605;1410
06:10;1500;1560;1605;1410
06:11;1620;1560;1605;1410
06:12;2100;1650;1560;1500
06:13;1200;1650;1560;1500
06:14;1560;1470;1560;1500
06:15;1380;1470;1560;1500
06:16;900;1380;1365;1500
06:17;1860;1380;1365;1500
06:18;1380;1350;1365;1660
06:19;1320;1350;1365;1660
06:20;1860;1950;1815;1660
06:21;2040;1950;1815;1660
06:22;1680;1680;1815;1660
06:23;1680;1680;1815;1660
06:24;2040;1590;1815;1920
06:25;1140;1590;1815;1920
06:26;1800;2040;1815;1920
06:27;2280;2040;1815;1920
06:28;2100;2130;2025;1920
06:29;2160;2130;2025;1920
06:30;2460;1920;2025;2070
06:31;1380;1920;2025;2070
06:32;2580;2370;2145;2070
06:33;2160;2370;2145;2070
06:34;2100;1920;2145;2070
06:35;1740;1920;2145;2070
06:36;2340;2430;2310;2400
06:37;2520;2430;2310;2400
06:38;1860;2190;2310;2400
06:39;2520;2190;2310;2400
06:40;1560;2580;2655;2400
06:41;3600;2580;2655;2400
06:42;2760;2730;2655;2900
06:43;2700;2730;2655;2900
06:44;3000;3180;2985;2900
06:45;3360;3180;2985;2900
06:46;2760;2790;2985;2900
06:47;2820;2790;2985;2900
06:48;3360;3810;3750;3490
06:49;4260;3810;3750;3490
06:50;3720;3690;3750;3490
06:51;3660;3690;3750;3490
06:52;2520;2970;3585;3490
06:53;3420;2970;3585;3490
06:54;3540;4200;3585;4100
06:55;4860;4200;3585;4100
06:56;4260;3840;4050;4100
06:57;3420;3840;4050;4100
06:58;3840;4260;4050;4100
06:59;4680;4260;4050;4100
07:00;4260;4110;3975;3960
07:01;3960;4110;3975;3960
07:02;3180;3840;3975;3960
07:03;4500;3840;3975;3960
07:04;4200;3930;4230;3960
07:05;3660;3930;4230;3960
07:06;5040;4530;4230;4590
07:07;4020;4530;4230;4590
07:08;4380;4380;4620;4590
07:09;4380;4380;4620;4590
07:10;5760;4860;4620;4590
07:11;3960;4860;4620;4590
07:12;3840;4710;4740;4820
07:13;5580;4710;4740;4820
07:14;4920;4770;4740;4820
07:15;4620;4770;4740;4820
07:16;4260;4980;4650;4820
07:17;5700;4980;4650;4820
07:18;4380;4320;4650;4450
07:19;4260;4320;4650;4450
07:20;4020;4650;4515;4450
07:21;5280;4650;4515;4450
07:22;4620;4380;4515;4450
07:23;4140;4380;4515;4450
07:24;4260;4680;4770;4750
07:25;5100;4680;4770;4750
07:26;4380;4860;4770;4750
07:27;5340;4860;4770;4750
07:28;4620;4710;4170;4750
07:29;4800;4710;4170;4750
07:30;3540;3630;4170;4320
07:31;3720;3630;4170;4320
07:32;4260;4770;4665;4320
07:33;5280;4770;4665;4320
07:34;4560;4560;4665;4320
07:35;4560;4560;4665;4320
07:36;3660;4080;4515;4570
07:37;4500;4080;4515;4570
07:38;4620;4950;4515;4570
07:39;5280;4950;4515;4570
07:40;5040;4680;4530;4570
07:41;4320;4680;4530;4570
