Heure;Debit (veh/h): Boucle 1;Debit (veh/h): Boucle 2;Debit (veh/h): Boucle 3;Vitesse (km/h): Boucle 1;Vitesse (km/h): Boucle 2;Vitesse (km/h): Boucle 3;To (%): Boucle 1;To (%): Boucle 2;To (%): Boucle 3
06:00;1080;1140;840;84;86;65;3;4;20
06:01;900;1020;1140;88;87;81;3;3;3
06:02;1080;900;900;87;89;72;3;3;3
06:03;840;960;1020;91;86;70;2;3;4
06:04;1140;1020;900;87;81;72;3;3;4
06:05;840;1200;1020;86;86;74;2;4;5
06:06;1080;960;1020;81;83;74;3;3;5
06:07;960;1680;1860;74;79;64;3;6;7
06:08;2160;1380;1500;82;85;73;6;3;4
06:09;1140;1920;1380;84;84;80;3;5;4
06:10;1500;1080;1380;79;87;63;4;3;5
06:11;1620;1980;2460;83;85;70;5;7;10
06:12;2100;2220;1260;88;83;58;6;7;5
06:13;1200;1200;1260;88;86;78;3;3;4
06:14;1560;1620;1680;78;92;70;4;4;5
06:15;1380;1500;1260;76;81;78;4;6;5
06:16;900;1260;1680;82;81;56;3;3;5
06:17;1860;1440;1860;82;87;57;4;3;7
06:18;1380;1560;1020;86;79;73;4;5;3
06:19;1320;1860;1980;84;88;66;3;5;5
06:20;1860;1860;2040;85;86;78;4;5;6
06:21;2040;1980;1920;79;85;87;5;5;5
06:22;1680;1680;1740;86;89;81;4;5;5
06:23;1680;1800;1740;84;87;78;4;5;5
06:24;2040;1920;1800;86;88;83;5;6;6
06:25;1140;1380;1920;80;88;75;3;4;9
06:26;1800;1800;1980;79;79;50;5;6;9
06:27;2280;2100;2160;77;86;77;6;6;7
06:28;2100;2580;2220;80;79;71;6;9;9
06:29;2160;2400;2340;76;85;72;8;7;7
06:30;2460;1560;1800;82;85;82;6;5;5
06:31;1380;2160;2700;83;87;84;4;5;6
06:32;2580;2400;2220;82;84;63;6;6;8
06:33;2160;2460;2160;82;84;80;6;7;6
06:34;2100;2160;2160;83;91;78;6;6;7
06:35;1740;1980;2340;86;84;72;4;6;7
06:36;2340;2640;2700;82;85;87;6;6;7
06:37;2520;2220;1920;80;87;73;6;5;6
06:38;1860;2220;2460;83;90;82;4;6;7
06:39;2520;2220;1560;82;83;77;6;6;4
06:40;1560;2820;3660;82;83;76;4;7;10
06:41;3600;3000;2760;81;88;79;8;7;7
06:42;2760;2820;3120;84;83;84;6;7;8
06:43;2700;2880;2340;80;84;70;7;9;9
06:44;3000;3900;3840;76;81;79;9;11;11
06:45;3360;2700;2520;77;84;77;9;7;8
06:46;2760;3060;3360;84;83;74;7;8;10
06:47;2820;3480;3300;77;84;77;7;9;9
06:48;3360;4020;4380;78;78;74;9;12;14
06:49;4260;3960;4080;72;80;64;11;12;15
06:50;3720;4320;3900;72;80;77;10;13;11
06:51;3660;2340;2160;77;85;81;10;6;6
06:52;2520;3720;4200;86;82;77;6;10;13
06:53;3420;3720;4200;75;82;75;9;10;12
06:54;3540;4560;4620;76;79;70;9;12;14
06:55;4860;3900;4260;67;83;61;14;11;14
06:56;4260;3960;3780;75;82;75;11;11;12
06:57;3420;4320;3600;76;82;80;9;11;10
06:58;3840;4260;4560;74;75;75;10;12;14
06:59;4680;4680;4920;69;81;82;12;13;15
07:00;4260;4920;4200;77;80;82;11;14;13
07:01;3960;3060;3300;78;85;67;11;8;11
07:02;3180;4200;4860;78;78;74;8;12;15
07:03;4500;5100;4140;69;80;63;12;14;15
