Heure;Boucle 1;Boucle 2;Boucle 3
06:00;16;21;22
06:01;20;14;17
06:02;18;13;9
06:03;13;22;27
06:04;23;24;25
06:05;26;23;18
06:06;18;14;10
06:07;13;13;17
06:08;18;25;23
06:09;19;15;18
06:10;21;24;32
06:11;27;24;15
06:12;20;17;19
06:13;24;24;23
06:14;16;22;24
06:15;23;25;26
06:16;25;23;26
06:17;23;22;22
06:18;23;25;23
06:19;22;26;25
06:20;31;23;32
06:21;28;29;27
06:22;28;23;19
06:23;16;24;24
06:24;23;27;32
06:25;31;27;22
06:26;23;18;21
06:27;26;28;30
06:28;29;30;26
06:29;22;21;23
06:30;24;25;35
06:31;33;50;44
06:32;47;35;32
06:33;30;27;36
06:34;40;40;40
06:35;31;32;30
06:36;39;33;35
06:37;35;47;48
06:38;55;47;48
06:39;38;43;45
06:40;49;49;54
06:41;48;48;39
06:42;42;36;29
06:43;28;47;57
06:44;54;53;62
06:45;58;55;59
06:46;61;64;65
06:47;63;56;48
06:48;44;61;63
06:49;63;53;57
06:50;56;62;65
06:51;66;55;45
06:52;46;54;59
06:53;64;62;63
06:54;53;57;59
06:55;55;62;65
06:56;67;71;76
06:57;73;72;62
06:58;61;54;61
06:59;59;55;57
07:00;56;44;46
07:01;47;76;78
07:02;69;61;52
07:03;57;72;82
07:04;71;64;58
07:05;55;57;58
07:06;60;69;70
07:07;73;76;77
07:08;69;71;76
07:09;77;59;66
07:10;64;87;68
07:11;66;60;70
07:12;73;70;69
07:13;66;86;98
07:14;96;92;85
07:15;82;82;92
07:16;90;95;97
07:17;83;89;79
07:18;85;85;72
07:19;72;67;85
07:20;79;80;77
07:21;72;74;69
07:22;74;89;97
07:23;87;90;85
07:24;88;76;79
07:25;82;78;75
07:26;69;80;81
07:27;85;67;76
07:28;63;89;78
07:29;79;76;86
07:30;79;83;74
07:31;76;71;94
07:32;75;82;66
07:33;69;77;73
07:34;85;65;69
07:35;69;70;82
07:36;65;97;88
07:37;90;72;75
07:38;72;79;85
07:39;84;91;86
07:40;84;82;75
07:41;88;82;82
07:42;80;78;89
07:43;76;98;82
07:44;95;83;89
07:45;71;76;67
07:46;80;73;85
07:47;70;67;62
07:48;74;75;67
07:49;72;62;71
07:50;61;84;79
07:51;84;62;59
07:52;61;82;84
07:53;81;57;67
07:54;61;68;56
07:55;63;60;59
07:56;56;69;88
07:57;69;74;58
07:58;73;65;68
07:59;72;80;88
08:00;76;93;80
08:01;93;60;61
08:02;64;69;68
08:03;58;63;65
08:04;64;65;63
08:05;67;76;83
08:06;71;63;70
08:07;73;85;84
08:08;85;72;82
08:09;72;80;79
08:10;77;70;67
08:11;64;80;83
08:12;82;75;67
08:13;70;73;70
08:14;56;69;68
08:15;62;46;46
08:16;50;68;65
08:17;75;54;58
08:18;66;56;56
08:19;54;54;51
08:20;51;68;73
08:21;67;65;59
08:22;58;61;63
08:23;60;54;55
08:24;55;73;84
08:25;80;81;82
08:26;81;72;61
08:27;66;55;53
08:28;52;72;88
08:29;78;77;64
08:30;72;62;69
08:31;65;71;69
08:32;68;66;66
08:33;70;69;71
08:34;66;77;69
08:35;59;57;70
08:36;73;65;56
08:37;62;63;69
08:38;67;69;57
08:39;58;51;51
08:40;59;60;58
08:41;57;66;69
08:42;69;60;58
08:43;54;57;70
08:44;67;72;69
08:45;61;72;64
08:46;72;65;69
08:47;60;60;60
08:48;60;69;76
08:49;70;74;65
08:50;72;60;58
08:51;62;62;69
08:52;45;64;67
08:53;41;71;65
08:54;30;51;43
08:55;33;55;69
08:56;32;47;42
08:57;36;54;49
08:58;23;48;49
08:59;34;53;61
09:00;30;42;52
09:01;26;18;45
09:02;35;27;55
09:03;33;21;42
09:04;27;25;52
09:05;41;26;31
09:06;30;30;24
09:07;26;16;32
09:08;31;20;32
09:09;31;32;26
09:10;27;32;41
09:11;22;21;29
09:12;34;20;18
09:13;29;20;37
09:14;23;20;16
09:15;21;13;33
09:16;33;23;9
09:17;32;20;19
09:18;32;25;29
09:19;34;28;27
09:20;32;30;34
09:21;22;29;24
09:22;27;22;34
09:23;15;33;27
09:24;25;32;35
09:25;29;16;36
09:26;30;15;18
09:27;28;15;23
09:28;31;23;24
09:29;33;16;17
09:30;30;24;25
09:31;27;27;21
09:32;32;23;29
09:33;49;26;24
09:34;41;41;28
09:35;35;16;36
09:36;35;33;33
09:37;40;46;27
09:38;47;35;48
09:39;27;49;48
09:40;30;43;31
09:41;36;21;63
09:42;42;26;27
09:43;36;35;21
09:44;48;20;34
09:45;49;30;25
09:46;39;37;19
09:47;40;43;60
09:48;58;54;45
09:49;43;48;54
09:50;32;41;58
09:51;41;43;39
09:52;46;40;54
09:53;55;26;40
09:54;45;44;26
09:55;44;58;40
09:56;58;67;63
09:57;50;77;71
09:58;58;69;68
09:59;63;54;57
