Heure;Boucle 1;Boucle 2;Boucle 3
06:00;85;85;70
06:01;88;89;83
06:02;88;87;72
06:03;88;87;54
06:04;89;85;61
06:05;72;83;73
06:06;84;77;84
06:07;62;82;49
06:08;66;86;81
06:09;80;88;79
06:10;83;86;61
06:11;82;82;73
06:12;82;80;73
06:13;91;89;84
06:14;92;93;82
06:15;76;86;82
06:16;88;86;67
06:17;80;86;76
06:18;83;82;81
06:19;80;87;80
06:20;88;97;79
06:21;86;82;85
06:22;88;89;67
06:23;87;83;73
06:24;82;83;75
06:25;70;82;78
06:26;77;88;82
06:27;85;81;70
06:28;78;89;80
06:29;89;93;69
06:30;67;83;78
06:31;72;82;73
06:32;79;86;73
06:33;83;87;90
06:34;84;88;71
06:35;78;80;82
06:36;77;85;96
06:37;78;87;72
06:38;83;86;84
06:39;82;86;70
06:40;72;82;70
06:41;74;84;81
06:42;79;88;87
06:43;87;83;71
06:44;75;80;73
06:45;65;83;72
06:46;75;80;66
06:47;69;82;80
06:48;72;80;75
06:49;69;81;75
06:50;79;79;77
06:51;70;78;89
06:52;78;81;73
06:53;78;84;84
06:54;82;79;71
06:55;76;77;70
06:56;77;81;74
06:57;72;78;79
06:58;67;80;72
06:59;75;84;81
07:00;78;83;80
07:01;76;79;78
07:02;72;78;88
07:03;76;77;72
07:04;69;80;83
07:05;73;79;68
07:06;73;80;79
07:07;70;79;69
07:08;72;78;73
07:09;71;79;78
07:10;74;75;67
07:11;70;77;81
07:12;71;76;65
07:13;67;74;69
07:14;66;76;72
07:15;68;74;66
07:16;72;69;64
07:17;64;72;74
07:18;66;74;69
07:19;62;75;63
07:20;67;77;80
07:21;70;75;69
07:22;60;71;69
07:23;65;73;72
07:24;62;70;66
07:25;62;76;69
07:26;63;71;75
07:27;57;78;67
07:28;67;70;65
07:29;62;67;69
07:30;64;67;68
07:31;53;73;68
07:32;57;64;72
07:33;43;73;65
07:34;42;70;71
07:35;64;74;66
07:36;62;65;72
07:37;52;71;68
07:38;38;71;67
07:39;54;68;65
07:40;56;71;63
07:41;48;72;78
07:42;58;71;58
07:43;54;65;61
07:44;56;72;67
07:45;55;70;61
07:46;52;71;68
07:47;54;69;74
07:48;54;73;77
07:49;60;69;64
07:50;64;70;68
07:51;62;75;74
07:52;70;65;70
07:53;60;69;72
07:54;62;71;76
07:55;65;77;73
07:56;69;76;57
07:57;64;67;76
07:58;58;70;77
07:59;64;71;71
08:00;64;71;69
08:01;55;75;73
08:02;67;77;80
08:03;70;74;77
08:04;58;78;83
08:05;67;72;67
08:06;53;73;80
08:07;51;71;70
08:08;55;75;69
08:09;62;67;66
08:10;64;71;68
08:11;68;70;73
08:12;56;70;75
08:13;56;67;76
08:14;42;69;79
08:15;48;78;82
08:16;33;77;80
08:17;49;80;81
08:18;56;83;85
08:19;80;78;76
08:20;71;77;81
08:21;64;73;69
08:22;70;81;78
08:23;69;75;77
08:24;67;70;64
08:25;65;70;65
08:26;62;74;67
08:27;65;81;81
08:28;74;73;68
08:29;57;69;76
08:30;59;78;73
08:31;68;74;72
08:32;59;75;74
08:33;57;75;74
08:34;60;74;76
08:35;31;76;78
08:36;54;76;75
08:37;66;83;74
08:38;69;73;74
08:39;64;80;67
08:40;73;76;71
08:41;68;75;82
08:42;69;80;78
08:43;75;79;73
08:44;72;74;75
08:45;67;72;72
08:46;62;80;72
08:47;62;76;74
08:48;63;74;77
08:49;61;75;66
08:50;58;77;75
08:51;68;80;68
08:52;48;74;76
08:53;37;80;78
08:54;21;83;73
08:55;20;79;75
08:56;21;79;71
08:57;13;74;76
08:58;27;64;74
08:59;18;45;74
09:00;26;30;68
09:01;14;12;66
09:02;19;11;57
09:03;19;8;56
09:04;21;16;29
09:05;12;9;12
09:06;23;13;12
09:07;11;12;11
09:08;13;-2;12
09:09;13;11;11
09:10;18;14;13
09:11;16;13;8
09:12;16;14;13
09:13;26;13;10
09:14;19;11;8
09:15;17;11;12
09:16;17;11;10
09:17;16;17;8
09:18;16;14;11
09:19;16;14;14
09:20;15;15;14
09:21;16;15;9
09:22;18;14;19
09:23;10;18;11
09:24;20;26;10
09:25;14;14;16
09:26;16;15;11
09:27;14;8;11
09:28;22;11;20
09:29;20;17;7
09:30;22;19;10
09:31;11;19;16
09:32;13;19;19
09:33;19;16;11
09:34;26;18;21
09:35;16;11;18
09:36;19;17;12
09:37;17;24;13
09:38;23;17;17
09:39;16;17;19
09:40;10;15;15
09:41;21;11;20
09:42;21;9;11
09:43;20;13;6
09:44;26;11;12
09:45;19;12;12
09:46;20;15;11
09:47;15;18;21
09:48;23;20;14
09:49;19;17;17
09:50;16;16;27
09:51;20;16;16
09:52;35;18;20
09:53;31;13;14
09:54;26;20;10
09:55;29;26;15
09:56;37;30;26
09:57;35;33;36
09:58;43;30;46
09:59;32;24;70
